,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Nicotine,0.71088,0.687,0.71353,0.70027,0.69231,,X,X,X,,X,X,X,X,X,X,X
Best parameters for model,{'C': 2},"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 3}","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 9}","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 9}",{'n_neighbors': 50},,,,,,,,,,,,
