,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Benzos,0.72679,0.73475,0.75066,0.73475,0.7374,X,X,,X,X,X,X,,X,,X,X
Best parameters for model,{'C': 1},"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 5}","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 9}","{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 9}",{'n_neighbors': 70},,,,,,,,,,,,
