,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Chocolate,0.98143,0.98143,0.98143,0.98143,0.98143,X,X,X,X,X,X,X,X,X,X,,
Best parameters for model,{'C': 1},"{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}","{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 4}","{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 4}",{'n_neighbors': 5},,,,,,,,,,,,
