,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Heroin,0.94695,0.9496,0.95225,0.95225,0.95225,X,X,X,X,X,X,X,X,X,X,X,X
Best parameters for model,{'C': 1},"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2}","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 4}","{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 4}",{'n_neighbors': 20},,,,,,,,,,,,
