,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for VSA,0.95756,0.95756,0.96021,0.95756,0.95756,X,,X,,X,,X,,X,X,X,X
Best parameters for model,{'C': 5},"{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}","{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 4}","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 9}",{'n_neighbors': 10},,,,,,,,,,,,
