,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Meth,0.83024,0.8435,0.8382,0.8435,0.84085,X,X,X,X,X,X,X,X,X,X,X,X
Best parameters for model,{'C': 1},"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 4}","{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 9}",{'n_neighbors': 40},,,,,,,,,,,,
