,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Cocaine,0.78249,0.81432,0.79841,0.79576,0.78515,X,,,X,X,,,X,X,,X,X
Best parameters for model,{'C': 1},"{'criterion': 'gini', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 5}","{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 9}","{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 4}",{'n_neighbors': 80},,,,,,,,,,,,
