,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Ecstasy,0.80106,0.7878,0.79841,0.74271,0.80106,X,X,,,,,,,,,,X
Best parameters for model,{'C': 1},"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5}","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 6}","{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 9}",{'n_neighbors': 130},,,,,,,,,,,,
