,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Amphet,0.80371,0.79576,0.81698,0.79576,0.81432,X,,X,X,X,X,X,X,X,X,X,X
Best parameters for model,{'C': 1},"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2}","{'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 4}","{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 9}",{'n_neighbors': 30},,,,,,,,,,,,
