,logistic regression,Classification tree,Random Forest,Boosting model,KNN,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS
accuracy for Mushrooms,0.82228,0.7931,0.81963,0.79576,0.80106,X,X,,X,X,,X,X,X,,X,X
Best parameters for model,{'C': 1},"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 2}","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 6}","{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 9}",{'n_neighbors': 30},,,,,,,,,,,,
